Tesla V100-SXM2-32GB
Training on cuda.
Epoch: 1 | Training Loss: 3.361 | Validation Loss: 0.453
Epoch: 2 | Training Loss: 0.440 | Validation Loss: 0.424
Epoch: 3 | Training Loss: 0.411 | Validation Loss: 0.408
Epoch: 4 | Training Loss: 0.392 | Validation Loss: 0.396
Epoch: 5 | Training Loss: 0.377 | Validation Loss: 0.388
Epoch: 6 | Training Loss: 0.368 | Validation Loss: 0.381
Epoch: 7 | Training Loss: 0.361 | Validation Loss: 0.384
Epoch: 8 | Training Loss: 0.355 | Validation Loss: 0.368
Epoch: 9 | Training Loss: 0.347 | Validation Loss: 0.371
Epoch: 10 | Training Loss: 0.341 | Validation Loss: 0.364
Epoch: 11 | Training Loss: 0.335 | Validation Loss: 0.358
Epoch: 12 | Training Loss: 0.328 | Validation Loss: 0.352
Epoch: 13 | Training Loss: 0.322 | Validation Loss: 0.363
Epoch: 14 | Training Loss: 0.321 | Validation Loss: 0.357
Epoch: 15 | Training Loss: 0.314 | Validation Loss: 0.345
Epoch: 16 | Training Loss: 0.307 | Validation Loss: 0.346
Epoch: 17 | Training Loss: 0.306 | Validation Loss: 0.364
Epoch: 18 | Training Loss: 0.304 | Validation Loss: 0.362
Epoch: 19 | Training Loss: 0.301 | Validation Loss: 0.345
Epoch: 20 | Training Loss: 0.295 | Validation Loss: 0.360
Epoch: 21 | Training Loss: 0.290 | Validation Loss: 0.356
Epoch: 22 | Training Loss: 0.284 | Validation Loss: 0.346
Epoch: 23 | Training Loss: 0.282 | Validation Loss: 0.342
Epoch: 24 | Training Loss: 0.277 | Validation Loss: 0.348
Epoch: 25 | Training Loss: 0.277 | Validation Loss: 0.345
Epoch: 26 | Training Loss: 0.273 | Validation Loss: 0.344
Epoch: 27 | Training Loss: 0.276 | Validation Loss: 0.344
Epoch: 28 | Training Loss: 0.271 | Validation Loss: 0.351
Epoch: 29 | Training Loss: 0.275 | Validation Loss: 0.346
Epoch: 30 | Training Loss: 0.272 | Validation Loss: 0.350
Epoch: 31 | Training Loss: 0.264 | Validation Loss: 0.346
Epoch: 32 | Training Loss: 0.261 | Validation Loss: 0.352
Epoch: 33 | Training Loss: 0.258 | Validation Loss: 0.355
Epoch: 34 | Training Loss: 0.253 | Validation Loss: 0.359
Training finished at epoch 35
Batch 0. Accuracy: 89.844% | AUC: 0.882 | Loss: 0.28
Batch 1. Accuracy: 89.062% | AUC: 0.739 | Loss: 0.46
Batch 2. Accuracy: 88.281% | AUC: 0.868 | Loss: 0.40
Batch 3. Accuracy: 92.188% | AUC: 0.940 | Loss: 0.23
Batch 4. Accuracy: 91.406% | AUC: 0.911 | Loss: 0.26
Batch 5. Accuracy: 85.938% | AUC: 0.905 | Loss: 0.26
Batch 6. Accuracy: 90.625% | AUC: 0.863 | Loss: 0.28
Batch 7. Accuracy: 85.938% | AUC: 0.858 | Loss: 0.41
Batch 8. Accuracy: 85.938% | AUC: 0.861 | Loss: 0.37
Batch 9. Accuracy: 88.281% | AUC: 0.885 | Loss: 0.28
Batch 10. Accuracy: 86.719% | AUC: 0.801 | Loss: 1.14
Batch 11. Accuracy: 87.500% | AUC: 0.879 | Loss: 1.08
Batch 12. Accuracy: 87.500% | AUC: 0.731 | Loss: 0.38
Batch 13. Accuracy: 82.812% | AUC: 0.687 | Loss: 0.44
Batch 14. Accuracy: 89.062% | AUC: 0.875 | Loss: 1.16
Batch 15. Accuracy: 92.188% | AUC: 0.875 | Loss: 0.23
Batch 16. Accuracy: 87.500% | AUC: 0.709 | Loss: 0.42
Batch 17. Accuracy: 89.062% | AUC: 0.849 | Loss: 0.41
Batch 18. Accuracy: 84.444% | AUC: 0.790 | Loss: 0.48
